column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
kumo/enzymeenv-t4-a6-v1-s1,16,0,0.0,0.925,0.17139136501002608,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.17139136501002608,0,0
kumo/fantasyenv-t12-a16-v1-s0,16,0,0.0,0.175,0.24366985862022408,0.0,0.0,0.25,0.0,0.8,identity,0.0,0.25,0,0
kumo/fantasyenv-t12-a16-v1-s1,16,0,0.0,0.7625000000000001,0.2847696437473629,0.8,0.7000000000000001,1.0,0.2,1.0,identity,0.8,0.29999999999999993,0,0
kumo/fantasyenv-t4-a6-v1-s0,16,0,0.0,0.9375,0.15360257159305635,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.15360257159305635,0,0
kumo/fantasyenv-t4-a6-v1-s1,16,0,0.0,0.95,0.11180339887498948,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.11180339887498948,0,0
kumo/fashionenv-t4-a6-v1-s0,16,0,0.0,0.9375,0.16909686573085855,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.16909686573085855,0,0
kumo/fashionenv-t4-a6-v1-s1,16,0,0.0,0.975,0.06614378277661474,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.06614378277661474,0,0
kumo/fishenv-t4-a6-v1-s0,16,0,0.0,0.975,0.09682458365518543,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.09682458365518543,0,0
kumo/fishenv-t4-a6-v1-s1,16,0,0.0,0.95,0.13228756555322954,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.13228756555322954,0,0
kumo/fungalenv-t4-a6-v1-s0,16,0,0.0,0.9125,0.186664806538351,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.186664806538351,0,0
kumo/fungalenv-t4-a6-v1-s1,16,0,0.0,0.925,0.13919410907075055,1.0,0.95,1.0,0.6,1.0,identity,1.0,0.050000000000000044,0,0
kumo/gadgetenv-t4-a6-v1-s0,16,0,0.0,0.9375,0.1964529205687714,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.1964529205687714,0,0
kumo/gadgetenv-t4-a6-v1-s1,16,0,0.0,0.95,0.19364916731037085,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.19364916731037085,0,0
kumo/gemstoneenv-t4-a6-v1-s0,16,0,0.0,0.975,0.09682458365518543,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.09682458365518543,0,0
kumo/gemstoneenv-t4-a6-v1-s1,16,0,0.0,0.95,0.15,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.15,0,0
kumo/geneticenv-t4-a6-v1-s0,16,0,0.0,0.9375,0.1964529205687714,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.1964529205687714,0,0
kumo/geneticenv-t4-a6-v1-s1,16,0,0.0,0.95,0.15,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.15,0,0
kumo/geologicalenv-t4-a6-v1-s0,16,0,0.0,0.9625,0.10532687216470447,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.10532687216470447,0,0
kumo/geologicalenv-t4-a6-v1-s1,16,0,0.0,0.975,0.06614378277661474,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.06614378277661474,0,0
kumo/herbenv-t4-a6-v1-s0,16,0,0.0,0.9625,0.10532687216470447,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.10532687216470447,0,0
kumo/herbenv-t4-a6-v1-s1,16,0,0.0,0.9375,0.13635890143294643,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.13635890143294643,0,0
kumo/historicalbattleenv-t4-a6-v1-s0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
kumo/historicalbattleenv-t4-a6-v1-s1,16,0,0.0,0.8500000000000001,0.22912878474779202,1.0,0.75,1.0,0.2,1.0,identity,1.0,0.25,0,0
kumo/historicalenv-t4-a6-v1-s0,16,0,0.0,0.8875,0.2117634293262177,1.0,0.95,1.0,0.4,1.0,identity,1.0,0.050000000000000044,0,0
kumo/historicalenv-t4-a6-v1-s1,16,0,0.0,0.975,0.06614378277661474,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.06614378277661474,0,0
kumo/hormoneenv-t4-a6-v1-s0,16,0,0.0,0.9375,0.16909686573085855,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.16909686573085855,0,0
kumo/hormoneenv-t4-a6-v1-s1,16,0,0.0,0.9125,0.19960899278339142,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.19960899278339142,0,0
kumo/inventorenv-t4-a6-v1-s0,16,0,0.0,0.95,0.15,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.15,0,0
kumo/inventorenv-t4-a6-v1-s1,16,0,0.0,0.9624999999999999,0.10532687216470447,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.10532687216470447,0,0
kumo/languageenv-t4-a6-v1-s0,16,0,0.0,0.95,0.15,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.15,0,0
kumo/languageenv-t4-a6-v1-s1,16,0,0.0,0.9875,0.0484122918275927,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.0484122918275927,0,0
kumo/leadershipenv-t4-a6-v1-s0,16,0,0.0,0.95,0.15,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.15,0,0
kumo/leadershipenv-t4-a6-v1-s1,16,0,0.0,0.9624999999999999,0.07806247497997996,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.07806247497997996,0,0
kumo/licenseenv-t4-a6-v1-s0,16,0,0.0,0.85,0.2872281323269014,1.0,0.95,1.0,0.2,1.0,identity,1.0,0.050000000000000044,0,0
kumo/licenseenv-t4-a6-v1-s1,16,0,0.0,0.925,0.15612494995995993,1.0,0.95,1.0,0.4,1.0,identity,1.0,0.050000000000000044,0,0
kumo/literaryenv-t4-a6-v1-s0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
kumo/literaryenv-t4-a6-v1-s1,16,0,0.0,0.95,0.15,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.15,0,0
kumo/machinepartenv-t4-a6-v1-s0,16,0,0.0,0.975,0.09682458365518543,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.09682458365518543,0,0
kumo/machinepartenv-t4-a6-v1-s1,16,0,0.0,0.975,0.06614378277661474,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.06614378277661474,0,0
kumo/malwareenv-t4-a6-v1-s0,16,0,0.0,0.95,0.15,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.15,0,0
kumo/malwareenv-t4-a6-v1-s1,16,0,0.0,0.9375,0.1964529205687714,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.1964529205687714,0,0
kumo/marineenv-t4-a6-v1-s0,16,0,0.0,0.95,0.11180339887498948,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.11180339887498948,0,0
kumo/marineenv-t4-a6-v1-s1,16,0,0.0,0.93125,0.18275239396516807,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.18275239396516807,0,0
kumo/marketingenv-t4-a6-v1-s0,16,0,0.0,0.95625,0.12732217992164602,1.0,1.0,1.0,0.5,1.0,identity,1.0,0.12732217992164602,0,0
kumo/marketingenv-t4-a6-v1-s1,16,0,0.0,0.9624999999999999,0.10532687216470447,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.10532687216470447,0,0
